max-step-size,evaporation-rate,population,max-turn-angle,diffusion-rate,ticks
4.0,10.0,100.0,120.0,10.0,201
4.0,10.0,100.0,120.0,10.0,259
4.0,10.0,100.0,120.0,100.0,195
4.0,10.0,100.0,120.0,100.0,249
4.0,10.0,100.0,120.0,100.0,205
4.0,10.0,100.0,120.0,100.0,203
4.0,10.0,100.0,120.0,100.0,219
4.0,10.0,100.0,120.0,100.0,226
4.0,10.0,100.0,120.0,100.0,206
4.0,10.0,100.0,120.0,100.0,214
4.0,10.0,100.0,120.0,100.0,223
4.0,10.0,100.0,120.0,100.0,232
4.0,100.0,50.0,60.0,10.0,427
4.0,100.0,50.0,60.0,10.0,438
4.0,100.0,50.0,60.0,10.0,464
4.0,100.0,50.0,60.0,10.0,383
4.0,100.0,50.0,60.0,10.0,345
4.0,100.0,50.0,60.0,10.0,381
4.0,100.0,50.0,60.0,10.0,538
4.0,100.0,50.0,60.0,10.0,375
4.0,100.0,50.0,60.0,10.0,465
4.0,100.0,50.0,60.0,10.0,446
4.0,100.0,50.0,60.0,10.0,425
4.0,100.0,50.0,60.0,10.0,379
4.0,100.0,50.0,60.0,10.0,372
4.0,100.0,50.0,60.0,10.0,530
4.0,100.0,50.0,60.0,10.0,686
4.0,100.0,50.0,60.0,10.0,435
4.0,100.0,50.0,60.0,10.0,362
4.0,100.0,50.0,60.0,10.0,455
4.0,100.0,50.0,60.0,10.0,380
4.0,100.0,50.0,60.0,10.0,501
4.0,100.0,50.0,60.0,100.0,652
4.0,100.0,50.0,60.0,100.0,415
4.0,100.0,50.0,60.0,100.0,248
4.0,100.0,50.0,60.0,100.0,437
4.0,100.0,50.0,60.0,100.0,367
4.0,100.0,50.0,60.0,100.0,369
4.0,100.0,50.0,60.0,100.0,474
4.0,100.0,50.0,60.0,100.0,438
4.0,100.0,50.0,60.0,100.0,486
4.0,100.0,50.0,60.0,100.0,339
4.0,100.0,50.0,60.0,10.0,379
4.0,100.0,50.0,60.0,10.0,378
4.0,100.0,50.0,60.0,10.0,352
4.0,100.0,50.0,60.0,10.0,418
4.0,100.0,50.0,60.0,10.0,439
4.0,100.0,50.0,60.0,10.0,341
4.0,100.0,50.0,60.0,10.0,384
4.0,100.0,50.0,60.0,10.0,500
4.0,100.0,50.0,60.0,10.0,473
4.0,100.0,50.0,60.0,10.0,422
4.0,100.0,50.0,60.0,10.0,404
4.0,100.0,50.0,60.0,10.0,509
4.0,100.0,50.0,60.0,10.0,392
4.0,100.0,50.0,60.0,10.0,503
4.0,100.0,50.0,60.0,10.0,442
4.0,100.0,50.0,60.0,10.0,675
4.0,100.0,50.0,60.0,10.0,477
4.0,100.0,50.0,60.0,10.0,406
4.0,100.0,50.0,60.0,10.0,430
4.0,100.0,50.0,60.0,10.0,406
4.0,100.0,50.0,60.0,100.0,468
4.0,100.0,50.0,60.0,100.0,390
4.0,100.0,50.0,60.0,100.0,378
4.0,100.0,50.0,60.0,100.0,439
4.0,100.0,50.0,60.0,100.0,593
4.0,100.0,50.0,60.0,100.0,310
4.0,100.0,50.0,60.0,100.0,331
4.0,100.0,50.0,60.0,100.0,433
4.0,100.0,50.0,60.0,100.0,381
4.0,100.0,50.0,60.0,100.0,528
4.0,100.0,50.0,120.0,10.0,376
4.0,100.0,50.0,120.0,10.0,433
4.0,100.0,50.0,120.0,10.0,554
4.0,100.0,50.0,120.0,10.0,393
4.0,100.0,50.0,120.0,10.0,663
4.0,100.0,50.0,120.0,10.0,450
4.0,100.0,50.0,120.0,10.0,454
4.0,100.0,50.0,120.0,10.0,470
4.0,100.0,50.0,120.0,10.0,387
4.0,100.0,50.0,120.0,10.0,408
4.0,100.0,50.0,120.0,10.0,525
4.0,100.0,50.0,120.0,10.0,620
4.0,100.0,50.0,120.0,10.0,682
4.0,100.0,50.0,120.0,10.0,566
4.0,100.0,50.0,120.0,10.0,551
4.0,100.0,50.0,120.0,10.0,422
4.0,100.0,50.0,120.0,10.0,368
4.0,100.0,50.0,120.0,10.0,465
4.0,100.0,50.0,120.0,10.0,394
4.0,100.0,50.0,120.0,10.0,362
4.0,100.0,50.0,120.0,100.0,423
4.0,100.0,50.0,120.0,100.0,365
4.0,100.0,50.0,120.0,100.0,426
4.0,100.0,50.0,120.0,100.0,415
4.0,100.0,50.0,120.0,100.0,576
4.0,100.0,50.0,120.0,100.0,318
4.0,100.0,50.0,120.0,100.0,327
4.0,100.0,50.0,120.0,100.0,360
4.0,100.0,50.0,120.0,100.0,440
4.0,100.0,50.0,120.0,100.0,444
4.0,100.0,100.0,60.0,10.0,248
4.0,100.0,100.0,60.0,10.0,231
4.0,100.0,100.0,60.0,10.0,183
4.0,100.0,100.0,60.0,10.0,226
4.0,100.0,100.0,60.0,10.0,253
4.0,100.0,100.0,60.0,10.0,183
4.0,100.0,100.0,60.0,10.0,203
4.0,100.0,100.0,60.0,10.0,231
4.0,100.0,100.0,60.0,10.0,176
4.0,100.0,100.0,60.0,10.0,181
4.0,100.0,100.0,60.0,10.0,162
4.0,100.0,100.0,60.0,10.0,154
4.0,100.0,100.0,60.0,10.0,256
4.0,100.0,100.0,60.0,10.0,145
4.0,100.0,100.0,60.0,10.0,220
4.0,100.0,100.0,60.0,10.0,233
4.0,100.0,100.0,60.0,10.0,327
4.0,100.0,100.0,60.0,10.0,195
4.0,100.0,100.0,60.0,10.0,173
4.0,100.0,100.0,60.0,10.0,170
4.0,100.0,100.0,60.0,100.0,172
4.0,100.0,100.0,60.0,100.0,228
